,ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin
144,AC2802324,"15,710.00","5,000.00","10,770.00","9,940.00","20,658.00",2017
145,2016000037,"11,700.00","7,500.00","7,500.00","11,700.00","19,122.00",2017
148,2017000035,"13,420.00","15,500.00","21,420.00","7,500.00","28,438.00",2017
149,2016000055,"6,000.00","20,500.00","6,500.00","6,000.00","26,432.00",2017
150,2017000008,"3,690.00","28,028.00","28,028.00","3,690.00","19,021.00",2017
151,AR7969044,"14,870.00","6,500.00","12,370.00","9,000.00","21,302.00",2017
152,2017000019,"11,920.00","22,844.00","28,764.00","6,000.00","33,970.00",2017
153,2017000090,"12,709.00","7,500.00","14,209.00","6,000.00","20,131.00",2017
154,BA7298794,"16,190.00","7,500.00","7,500.00","16,190.00","23,612.00",2017
156,2016000069,"12,709.00","5,500.00","12,209.00","6,000.00","18,153.00",2017
157,2017000064,"6,700.00","26,500.00","6,500.00","6,700.00","33,132.00",2017
158,2017000063,"16,595.00","14,000.00","19,920.00","10,675.00","30,241.00",2017
159,2017000067,"13,649.00","12,500.00","19,999.00","6,150.00","26,019.00",2017
160,2017000057,"9,920.00","16,500.00","22,420.00","4,000.00","25,958.00",2017
161,2017000086,"8,200.00","12,500.00","12,500.00","8,200.00","20,570.00",2017
164,2017000056,"3,274.65",0.00,"2,157.98","1,116.67","3,274.65",2017
165,2016000028,"15,670.00","12,500.00","17,270.00","10,900.00","28,038.00",2017
167,2016000053,"6,500.00","6,000.00","6,000.00","6,500.00","12,437.00",2017
168,2017000062,"8,301.42","9,500.00","13,241.42","4,560.00","13,002.42",2017
169,2017000031,"10,999.00","9,500.00","16,999.00","3,500.00","20,399.00",2017
171,2017000011,"8,200.00","12,500.00","12,500.00","8,200.00","20,570.00",2017
172,2016000058,"13,920.00","12,500.00","18,420.00","8,000.00","26,288.00",2017
174,2016000027,"15,670.00","7,500.00","13,420.00","9,750.00","23,092.00",2017
175,2017000044,"9,770.00","30,500.00","9,270.00","7,000.00","40,202.00",2017
177,2016000082,"9,500.00","24,610.00","24,610.00","9,500.00","33,302.00",2017
178,2017000004,"3,070.00","7,500.00","8,570.00","2,000.00","10,492.00",2017
179,2016000046,"11,870.00","4,500.00","10,370.00","6,000.00","16,322.00",2017
180,CR1596323,"7,000.00","24,464.00","24,464.00","7,000.00","30,664.00",2017
181,2017000069,"4,100.00","28,209.00","28,209.00","4,100.00","19,010.00",2017
182,2016000035,"12,770.00","13,500.00","17,770.00","8,500.00","25,906.00",2017
183,2016000002,"23,043.00",0.00,"6,313.00","16,730.00","23,043.00",2017
185,2016000021,"12,300.00","10,500.00","10,500.00","12,300.00","22,690.00",2017
186,2017000001,"3,000.00","3,750.00","3,750.00","3,000.00","6,711.00",2017
187,2017000048,"16,471.00","10,500.00","14,170.00","12,801.00","26,861.00",2017
188,2016000072,"13,920.00","5,500.00","11,420.00","8,000.00","19,364.00",2017
189,2016000016,"11,700.00","25,500.00","10,500.00","11,700.00","37,090.00",2017
190,2016000078,"14,399.00","21,000.00","13,699.00","8,200.00","35,321.00",2017
191,2016000045,"14,300.00","6,500.00","6,500.00","14,300.00","20,732.00",2017
194,2017000017,"6,000.00","5,500.00","5,500.00","6,000.00","11,442.00",2017
196,2016000024,"21,859.00","6,500.00","13,209.00","15,150.00","28,291.00",2017
197,2018000004,"1,250.00","17,879.00","17,879.00","1,250.00","11,189.00",2017
198,2016000009,"6,500.00","21,500.00","6,500.00","6,500.00","27,932.00",2017
199,2016000057,"17,068.00","12,500.00","18,420.00","11,148.00","29,436.00",2017
200,2017000103,"9,629.00","6,500.00","9,979.00","6,150.00","16,063.00",2017
201,2017000030,"12,637.00","12,500.00","19,137.00","6,000.00","25,005.00",2017
202,2017000058,"8,000.00","31,115.00","31,115.00","8,000.00","38,029.00",2017
203,2016000065,"11,920.00","10,500.00","16,420.00","6,000.00","22,312.00",2017
204,2017000107,"2,960.00","12,500.00","15,460.00",0.00,"15,140.00",2017
206,2017000085,"11,076.00","9,500.00","15,420.00","5,156.00","20,476.00",2017
207,HA9161964,"8,034.50","6,500.00","6,500.00","8,034.50","14,466.50",2017
