,ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin
457,2016000043,"8,384.50","7,500.00","9,522.00","6,362.50","15,806.50",2018
458,2018000106,"24,479.00","5,500.00","10,245.00","10,650.00","29,923.00",2018
459,2018000099,"19,517.00","9,500.00","15,595.00","11,750.00","28,919.00",2018
460,2016000007,"17,795.00","27,300.00","18,595.00","11,700.00","44,963.00",2018
461,2018000083,"9,422.00","2,750.00","2,750.00","9,422.00","12,144.00",2018
462,2018000009,"11,350.00","5,500.00","5,500.00","11,350.00","16,794.00",2018
463,2018000013,"15,617.00","5,500.00","10,045.00","9,400.00","21,061.00",2018
464,2018000078,"5,325.00","17,100.00","17,100.00","4,575.00","15,419.00",2018
465,2018000098,"17,795.00","5,500.00","11,545.00","11,750.00","23,239.00",2018
467,2017000087,"5,000.00","31,500.00","31,500.00","5,000.00","35,400.00",2018
469,2018000064,"7,500.00","33,500.00","33,500.00","7,500.00","42,297.00",2018
470,2018000080,"15,045.00","14,750.00","13,545.00","9,000.00","29,717.00",2018
471,2018000084,"10,123.00","8,750.00","11,798.00","7,075.00","18,622.00",2018
472,2018000034,"23,929.00",0.00,"5,245.00","9,600.00","23,929.00",2018
473,2017000082,"11,095.00","32,180.00","38,275.00","5,000.00","42,145.00",2018
474,RU1751715,"25,885.00","6,500.00","12,595.00","19,790.00","32,317.00",2018
476,2018000094,"10,895.00","9,500.00","13,345.00","7,050.00","20,297.00",2018
477,2018000121,0.00,"21,688.00","21,688.00",0.00,"20,978.00",2018
478,2017000101,"8,000.00","16,563.00","16,563.00","8,000.00","24,069.00",2018
479,2018000074,"2,047.20",0.00,"1,524.00",523.20,"2,047.20",2018
480,2018000006,"16,745.00","26,530.00","29,175.00","14,100.00","34,642.90",2018
481,2018000089,"14,789.00","4,500.00","7,373.00","6,538.00","15,533.00",2018
482,2018000090,"23,295.00","12,500.00","18,595.00","17,200.00","35,507.00",2018
485,2018000027,"16,595.00","5,500.00","11,595.00","8,500.00","22,039.00",2018
486,2018000032,"22,470.00",0.00,"6,095.00","16,375.00","22,470.00",2018
487,2018000119,"8,048.00",0.00,"3,048.00","5,000.00","8,048.00",2018
488,2018000020,"20,634.00","5,500.00","5,500.00","11,550.00","26,078.00",2018
489,2018000028,"9,150.00","34,475.00","34,475.00","9,150.00","42,335.00",2018
492,2018000053,"7,000.00","7,500.00","7,500.00","7,000.00","14,422.00",2018
494,2016000067,"7,500.00","35,775.00","35,775.00","7,500.00","41,993.00",2018
495,2018000005,"14,100.00","29,175.00","29,175.00","14,100.00","34,687.00",2018
496,2016000029,"15,245.00","7,500.00","13,245.00","9,500.00","22,667.00",2018
497,2018000051,"9,500.00","16,532.00","16,532.00","9,500.00","25,508.00",2018
498,2017000088,"3,500.00","18,138.00","18,138.00","3,500.00","20,954.00",2018
499,2018000018,"26,904.00","5,500.00","11,595.00","11,725.00","32,348.00",2018
500,2018000019,"14,100.00","5,500.00","5,500.00","14,100.00","19,544.00",2018
501,2018000050,"17,120.00","7,500.00","13,545.00","11,075.00","24,542.00",2018
502,2018000029,"7,000.00","18,758.00","18,758.00","7,000.00","25,200.00",2018
503,2018000039,"14,870.00","5,500.00","8,645.00","11,725.00","20,314.00",2018
504,2017000059,"8,000.00","32,500.00","32,500.00","8,000.00","39,356.00",2018
505,2017000102,"10,500.00","19,500.00","7,500.00","10,500.00","29,922.00",2018
506,2018000096,"5,000.00","2,750.00","2,750.00","5,000.00","7,722.00",2018
507,2018000077,"27,129.00","17,526.00","23,571.00","12,000.00","44,121.00",2018
508,2018000025,"7,500.00","36,125.00","36,125.00","7,500.00","42,265.00",2018
509,2018000059,"14,470.00","18,238.00","22,483.00","10,225.00","32,112.00",2018
510,2018000109,"19,795.00","5,500.00","11,545.00","13,750.00","25,237.00",2018
511,2018000081,"5,000.00","38,625.00","38,625.00","5,000.00","42,163.00",2018
512,2017000074,"15,045.00","7,500.00","13,545.00","9,000.00","22,467.00",2018
513,2018000052,"13,087.00","3,250.00","6,298.00","4,661.00","16,304.00",2018
514,2017000027,"9,000.00","26,221.00","26,221.00","9,000.00","34,345.00",2018
515,2017000065,"11,518.34",0.00,"5,385.00","6,133.34","11,518.34",2018
