ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin,YearCat
2017000057,9920.0,16500.0,22420.0,4000.0,25958.0,2017,1
2017000086,8200.0,12500.0,12500.0,8200.0,20570.0,2017,1
2017000056,3274.65,0.0,2157.98,1116.67,3274.65,2017,1
2016000028,15670.0,12500.0,17270.0,10900.0,28038.0,2017,1
2016000053,6500.0,6000.0,6000.0,6500.0,12437.0,2017,1
2017000062,8301.42,9500.0,13241.42,4560.0,13002.42,2017,1
2017000031,10999.0,9500.0,16999.0,3500.0,20399.0,2017,1
2017000011,8200.0,12500.0,12500.0,8200.0,20570.0,2017,1
2016000058,13920.0,12500.0,18420.0,8000.0,26288.0,2017,1
2016000027,15670.0,7500.0,13420.0,9750.0,23092.0,2017,1
2017000044,9770.0,30500.0,9270.0,7000.0,40202.0,2017,1
2016000082,9500.0,24610.0,24610.0,9500.0,33302.0,2017,1
2017000004,3070.0,7500.0,8570.0,2000.0,10492.0,2017,1
2016000046,11870.0,4500.0,10370.0,6000.0,16322.0,2017,1
CR1596323,7000.0,24464.0,24464.0,7000.0,30664.0,2017,1
2017000069,4100.0,28209.0,28209.0,4100.0,19010.0,2017,1
2016000035,12770.0,13500.0,17770.0,8500.0,25906.0,2017,1
2016000002,23043.0,0.0,6313.0,16730.0,23043.0,2017,1
2016000021,12300.0,10500.0,10500.0,12300.0,22690.0,2017,1
2017000001,3000.0,3750.0,3750.0,3000.0,6711.0,2017,1
2017000048,16471.0,10500.0,14170.0,12801.0,26861.0,2017,1
2016000072,13920.0,5500.0,11420.0,8000.0,19364.0,2017,1
2016000016,11700.0,25500.0,10500.0,11700.0,37090.0,2017,1
2016000078,14399.0,21000.0,13699.0,8200.0,35321.0,2017,1
2016000045,14300.0,6500.0,6500.0,14300.0,20732.0,2017,1
2017000017,6000.0,5500.0,5500.0,6000.0,11442.0,2017,1
2016000024,21859.0,6500.0,13209.0,15150.0,28291.0,2017,1
2018000004,1250.0,17879.0,17879.0,1250.0,11189.0,2017,1
2016000009,6500.0,21500.0,6500.0,6500.0,27932.0,2017,1
2016000057,17068.0,12500.0,18420.0,11148.0,29436.0,2017,1
2017000103,9629.0,6500.0,9979.0,6150.0,16063.0,2017,1
2017000030,12637.0,12500.0,19137.0,6000.0,25005.0,2017,1
2017000058,8000.0,31115.0,31115.0,8000.0,38029.0,2017,1
2016000065,11920.0,10500.0,16420.0,6000.0,22312.0,2017,1
2017000107,2960.0,12500.0,15460.0,0.0,15140.0,2017,1
2017000085,11076.0,9500.0,15420.0,5156.0,20476.0,2017,1
HA9161964,8034.5,6500.0,6500.0,8034.5,14466.5,2017,1
2017000052,6000.0,12500.0,12500.0,6000.0,18368.0,2017,1
HE8942512,7500.0,7500.0,7500.0,7500.0,14922.0,2017,1
2016000011,13414.0,12500.0,19039.0,6875.0,25782.0,2017,1
2016000018,16795.0,25163.0,31083.0,10875.0,41128.0,2017,1
2016000004,12870.0,12500.0,18370.0,7000.0,25238.0,2017,1
HO1378856,8445.0,10500.0,14070.0,4875.0,18837.0,2017,1
2016000023,10470.0,6500.0,8970.0,8000.0,16904.0,2017,1
2017000042,7770.0,33906.0,34976.0,6700.0,40474.0,2017,1
2017000091,12300.0,7500.0,7500.0,12300.0,19722.0,2017,1
2017000073,6385.0,3750.0,6035.0,4100.0,10096.0,2017,1
2017000104,10000.0,12800.0,12800.0,10000.0,22494.0,2017,1
2017000094,5798.54,20789.0,20789.0,5798.54,20717.54,2017,1
2016000022,15732.18,9000.0,13370.0,9862.18,24654.18,2017,1
